inches,mm,Feed Factor,inches,mm,Depth of Cut Factor
0.002,0.05,1.50,0.005,0.13,1.50
0.003,0.08,1.50,0.010,0.25,1.42
0.004,0.10,1.50,0.016,0.41,1.33
0.005,0.13,1.44,0.031,0.79,1.21
0.006,0.15,1.34,0.047,1.19,1.15
0.007,0.18,1.25,0.062,1.57,1.10
0.008,0.20,1.18,0.078,1.98,1.07
0.009,0.23,1.12,0.094,2.39,1.04
0.010,0.25,1.08,0.100,2.54,1.03
0.011,0.28,1.04,0.125,3.18,1.00
0.012,0.30,1.00,0.150,3.81,0.97
0.013,0.33,0.97,0.188,4.78,0.94
0.014,0.36,0.94,0.200,5.08,0.93
0.015,0.38,0.91,0.250,6.35,0.91
0.016,0.41,0.88,0.312,7.92,0.88
0.018,0.46,0.84,0.375,9.53,0.86
0.020,0.51,0.80,0.438,11.13,0.84
0.022,0.56,0.77,0.500,12.70,0.82
0.025,0.64,0.73,0.625,15.88,0.80
0.028,0.71,0.70,0.688,17.48,0.78
0.030,0.76,0.68,0.750,19.05,0.77
0.032,0.81,0.66,0.812,20.62,0.76
0.035,0.89,0.64,0.938,23.83,0.75
0.040,1.02,0.60,1.000,25.40,0.74
0.045,1.14,0.57,1.250,31.75,0.73
0.050,1.27,0.55,1.250,31.75,0.72
0.060,1.52,0.50,1.375,34.93,0.71
